tenure,MonthlyCharges,TotalCharges,gender_Male,SeniorCitizen_1,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,73.65,73.65,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
2,50.95,123.05,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
64,108.95,7111.3,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0
9,55.35,449.75,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
60,65.85,3928.3,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0
35,106.9,3756.45,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0
37,78.95,2839.65,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0
7,74.9,490.55,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
2,70.3,144.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
12,45.05,523.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
27,104.65,2964.0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0
22,94.7,1914.9,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0
3,57.55,161.45,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
39,99.1,3877.95,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1
15,74.45,1145.7,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
4,101.7,364.55,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0
71,82.0,5999.85,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0
41,111.15,4507.15,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0
61,94.2,5895.45,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0
19,44.9,839.65,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,85.7,2067.0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0
47,59.6,2754.0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
72,68.4,4855.35,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0
55,57.55,3046.4,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
17,50.3,846.8,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2,80.45,137.1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0
55,100.9,5552.05,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1
56,68.75,3808.0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0
29,70.75,1974.8,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
56,81.25,4620.4,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0
64,49.85,3210.35,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0
60,59.85,3483.45,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
37,80.05,3019.1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0
20,68.9,1370.35,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0
60,79.0,4801.1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1
68,54.45,3674.95,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0
61,106.0,6547.7,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
23,81.0,1917.1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0
38,70.6,2708.2,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1
3,91.05,289.1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0
1,70.0,70.0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1,69.35,69.35,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
3,97.9,315.3,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0
20,76.0,1588.75,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0
2,74.7,165.4,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
1,69.9,69.9,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
56,103.2,5744.35,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0
2,25.05,56.35,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
26,73.05,1959.5,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0
52,58.75,3038.55,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0
65,94.4,6126.15,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0
18,101.3,1794.65,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0
67,107.05,7142.5,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0
14,78.95,1101.85,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0
46,44.95,2168.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,87.6,2724.25,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0
1,73.0,73.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
72,114.45,8375.05,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0
20,70.45,1470.95,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
17,94.8,1563.9,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0
18,95.05,1679.4,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0
5,80.7,374.8,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
17,85.35,1463.45,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0
1,45.6,45.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6,89.25,487.05,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0
22,89.75,1938.9,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
72,95.1,6843.15,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0
67,106.7,7009.5,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0
69,81.95,5601.4,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0
30,80.8,2369.3,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0
1,50.05,50.05,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
50,90.1,4549.45,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0
31,55.25,1715.65,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
59,100.05,6034.85,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1
5,80.15,385.0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0
41,74.7,3187.65,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0
32,98.85,3089.6,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0
67,50.55,3260.1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
67,69.9,4615.9,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0
24,96.55,2263.45,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0
58,82.5,4828.05,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
9,74.25,639.65,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
71,85.45,6300.85,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0
1,79.25,79.25,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
52,94.6,5025.8,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0
71,105.7,7472.15,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0
67,74.0,4868.4,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0
72,83.7,6096.9,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0
21,45.65,985.05,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,90.4,6668.05,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0
23,85.6,1868.4,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
1,25.3,25.3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
57,71.1,4140.1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0
72,64.8,4732.35,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0
66,104.6,6819.45,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0
64,102.45,6654.1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0
14,66.6,979.5,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0
15,79.75,1111.85,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0
50,99.4,5059.75,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0
1,62.8,62.8,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
4,50.3,217.1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
72,84.9,6065.3,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0
71,104.1,7412.25,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0
38,95.0,3591.25,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0
64,68.3,4378.8,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1
22,78.65,1663.75,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1
69,73.7,4885.85,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0
5,80.2,384.25,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
56,60.25,3282.75,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0
12,53.75,648.65,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
54,24.95,1364.75,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,60.35,1404.65,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2,24.3,38.45,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,96.2,4718.25,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0
6,99.95,547.65,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1
6,91.0,531.0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0
27,81.3,2272.8,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0
6,93.55,536.4,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0
